#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_100_length_3332_cov_25.206286	178	1208	Escherichia_coli_emrE	205-1244/1244	..======/======	4/13	82.72	95.87	card	Z11877.1:1-1245
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_20_length_98132_cov_26.971635	51507	52994	tolC	1-1488/1488	===============	0/0	100.00	98.92	card	FJ768952:1-1489
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_20_length_98132_cov_26.971635	70142	70964	bacA	1-823/823	===============	0/0	100.00	99.51	card	U00096:3203310-3204132
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_20_length_98132_cov_26.971635	86329	87707	patA	1-1379/1380	===============	0/0	99.93	97.46	card	NC_000913.3:3219494-3220874
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_22_length_92220_cov_32.857473	66853	68227	cpxA	1-1375/1375	===============	0/0	100.00	100.00	card	NC_002695:4903562-4904936
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_22_length_92220_cov_32.857473	68223	68921	Escherichia_coli_CpxR	1-699/699	===============	0/0	100.00	98.00	card	CP015085.1:3009840-3010539
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_26_length_61636_cov_25.053328	30274	33868	evgS	1-3595/3595	===============	0/0	100.00	96.97	card	U00096:2484374-2487968
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_26_length_61636_cov_25.053328	33872	34487	evgA	1-616/616	===============	0/0	100.00	100.00	card	NC_002695:3211892-3212507
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_26_length_61636_cov_25.053328	35011	36067	emrK	1-1057/1057	===============	0/0	100.00	98.67	card	D78168:537-1593
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_26_length_61636_cov_25.053328	36066	37605	emrY	1-1540/1540	===============	0/0	100.00	98.77	card	D78168:1592-3131
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_29_length_58189_cov_31.794320	16353	17693	Escherichia_coli_LamB	1-1341/1341	===============	0/0	100.00	100.00	card	BA000007:5101245-5102586
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_2_length_267146_cov_22.044794	111363	112332	PmrF	1-970/970	===============	0/0	100.00	99.17	card	U00096:2367071-2368040
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_30_length_57109_cov_17.249606	13859	14243	marA	1-385/385	===============	0/0	100.00	99.22	card	NC_007779:1621288-1621672
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_36_length_43449_cov_18.967576	21074	21488	H-NS	1-415/415	===============	0/0	100.00	100.00	card	NC_002695:1737554-1737968
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_39_length_37191_cov_25.789557	3987	5526	emrB	1-1540/1540	===============	0/0	100.00	98.64	card	U00096:2812616-2814155
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_39_length_37191_cov_25.789557	5542	6715	emrA	1-1174/1174	===============	0/0	100.00	99.23	card	AP009048:2810083-2811256
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_39_length_37191_cov_25.789557	6842	7372	emrR	1-531/531	===============	0/0	100.00	99.62	card	NC_000913.3:2810770-2811301
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_3_length_217269_cov_31.385514	481	1306	gadX	1-826/826	===============	0/0	100.00	98.31	card	NC_007779:3974605-3975430
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_3_length_217269_cov_31.385514	1673	2401	gadW	1-729/729	===============	0/0	100.00	94.92	card	CP015085.1:2551712-2552441
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_3_length_217269_cov_31.385514	2763	5877	mdtF	1-3115/3115	===============	0/0	100.00	98.91	card	U00096:3660414-3663528
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_3_length_217269_cov_31.385514	5902	7060	mdtE	1-1159/1159	===============	0/0	100.00	99.14	card	AP009048:3980026-3981184
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_3_length_217269_cov_31.385514	201582	202215	CRP	1-634/634	===============	0/0	100.00	99.05	card	AP009048:4153664-4154297
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_4_length_205248_cov_23.477151	65118	66311	Escherichia_coli_acrA	1-1194/1194	===============	0/0	100.00	99.83	card	NC_000913.3:484426-485620
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_4_length_205248_cov_23.477151	66334	69483	acrB	1-3150/3150	===============	0/0	100.00	99.14	card	NC_000913.3:481254-484404
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_54_length_21275_cov_20.136899	4334	5501	PmrE	1-1168/1168	===============	0/0	100.00	97.35	card	U00096:2098447-2099614
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_6_length_196593_cov_22.049314	139540	142654	acrD	1-3115/3115	===============	0/0	100.00	99.13	card	NC_007779:2586251-2589365
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_8_length_146609_cov_33.836606	55870	57060	emrD	1-1191/1191	===============	0/0	100.00	98.41	card	GG749185.1:116813-118004
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_8_length_146609_cov_33.836606	91803	92979	mdtL	1-1177/1177	===============	0/0	100.00	96.35	card	U00096:3891615-3892791
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_9_length_133979_cov_30.207095	56308	57952	PmrC	1-1645/1645	===============	0/0	100.00	98.91	card	AP009048:4338625-4340269
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_9_length_133979_cov_30.207095	89545	90576	mdtN	1-1032/1032	===============	0/0	100.00	97.77	card	AP009048:4306557-4307589
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_9_length_133979_cov_30.207095	90576	92627	mdtO	1-2052/2052	===============	0/0	100.00	97.90	card	AP009048:4304506-4306558
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_9_length_133979_cov_30.207095	92624	94090	mdtP	1-1467/1467	===============	0/0	100.00	97.89	card	AP009048:4303043-4304510
